column_name;key;type;data_type
Probenahmestelle;Station identifier;st;cat
Geo Point;Geopoint;st;
Probenahmedatum;Sampling date;sa;
Entnahmezeit;Not used;;
Gruppe;Not used;;
Parameter;Parameter;md;
Bestimmungsgrenze;Detection limit;md;
Wert;<DL qualifier + numeric value;md;
Einheit;Unit;md;
Probennummer;Sample identifier;sa;
CAS-Bezeichnung;CAS-Nr;md;
BAFU-Bezeichnung;Not used;;
Allgemeine Parametergruppe;Parameter group;md;
Numeric value;Numeric value;md;
Latitude;Latitude;st;
Longitude;Longitude;st;
