STATION_ID,LAT_DEG,LONG_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE
S98_00701,22.8731,90.7844,1992.0,Shallow HP TW,10.7,Chittagong,Lakshmipur,Lakshmipur Sadar,Shakchar,Char Ramani Mohan,2514385190
S98_00718,23.0194,90.8786,1971.0,Shallow HP TW,12.2,Chittagong,Lakshmipur,Lakshmipur Sadar,Baksipur,Nandigram,2514310666
S98_00724,22.965,90.9597,1995.0,Private HP TW,12.2,Chittagong,Lakshmipur,Lakshmipur Sadar,Uttar Joypur,Chandra Prabhabag,2514395147
S98_00727,22.9253,90.9744,1997.0,Private HP TW,262.1,Chittagong,Lakshmipur,Lakshmipur Sadar,Chandraganj,Ganipur,2514320346
S98_00733,22.8653,90.9372,1993.0,Private HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Kushakhali,Madna,2514355579
S98_00734,22.8525,90.9058,1990.0,Village HP TW,182.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Kushakhali,Farasganj,2514355315
S98_00736,22.8567,90.8642,1991.0,Unicef/DPHE HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Bhabaniganj,Char Monasa,2514315181
S98_00749,22.9322,90.7767,1994.0,Private HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Char Ruhita,Char Ruhita,2514330194
S98_00752,22.9347,90.8294,1992.0,"Urban supply well, DPTW1",318.0,Chittagong,Lakshmipur,Lakshmipur Sadar,Lakshmipur Paurashava,,2514357
S98_00756,22.9414,90.8644,1991.0,Private HP TW,14.0,Chittagong,Lakshmipur,Lakshmipur Sadar,Laharkandi,Athiatali,251436056
S98_00777,23.5331,89.79,1994.0,Private HP TW,26.2,Dhaka,Faridpur,Faridpur Sadar,Kanaipur,Solakunda,3294763931
S98_00781,23.5347,89.8675,1995.0,Private HP TW,32.0,Dhaka,Faridpur,Faridpur Sadar,Greda,Jayar,3294739532
